url_length,hostname_length,path_length,dot_count,hyphen_count,at_count,question_count,ampersand_count,slash_count,digit_count,subdomain_count,has_ip,has_https,has_suspicious_keyword,has_shortener,has_port,entropy,class
58,11,1,3,1,0,0,1,3,5,0,0,1,0,0,0,2.551,benign
82,32,76,6,1,0,3,1,10,10,1,1,0,1,0,0,3.931,phishing
66,18,6,1,1,0,0,2,4,4,1,0,1,0,0,0,3.144,benign
125,36,58,6,2,0,0,5,6,11,1,1,1,1,0,0,5.168,phishing
28,19,22,1,2,0,1,0,6,5,0,0,1,0,0,0,4.073,benign
143,53,40,7,3,0,0,1,3,12,4,0,0,1,1,0,4.129,phishing
59,23,25,3,1,0,0,2,3,1,1,0,1,0,0,0,4.195,benign
72,50,75,2,1,1,1,5,5,15,1,0,0,1,0,0,4.606,phishing
18,29,7,3,2,0,1,2,2,2,1,0,1,0,0,0,4.152,benign
152,29,76,2,6,0,1,1,8,7,1,0,0,1,0,0,5.471,phishing
69,17,15,1,0,0,2,0,2,5,1,0,1,1,0,0,3.622,benign
176,53,33,4,5,1,3,1,11,8,3,0,1,1,0,0,4.403,phishing
33,15,4,2,0,0,2,1,6,1,0,0,0,0,0,0,3.961,benign
64,50,42,4,6,0,1,5,12,17,2,1,1,1,0,0,4.362,phishing
45,21,29,3,0,0,2,0,2,3,1,0,1,0,0,0,2.738,benign
78,35,71,3,1,0,0,0,11,2,1,1,1,1,0,0,3.927,phishing
43,9,10,2,0,0,1,2,5,2,1,0,1,0,0,0,3.327,benign
79,36,39,2,5,0,0,5,8,3,1,0,0,1,1,0,5.422,phishing
23,13,4,3,0,0,2,1,5,0,0,0,1,0,0,0,3.461,benign
95,34,38,7,6,0,2,3,5,11,4,0,1,1,0,0,5.497,phishing
24,10,34,1,2,0,1,1,4,0,0,0,1,0,0,0,3.54,benign
158,59,79,2,6,0,2,5,4,6,3,0,0,1,0,0,4.71,phishing
63,18,13,3,2,0,1,3,4,0,0,0,1,0,0,0,2.722,benign
180,34,32,7,4,0,3,4,3,5,1,1,1,1,0,0,4.238,phishing
53,12,27,1,0,0,1,2,2,2,0,0,1,0,0,0,3.987,benign
179,57,31,3,2,1,1,3,3,7,3,1,0,1,0,0,3.996,phishing
28,30,6,2,0,0,1,1,3,3,1,0,1,0,0,0,2.828,benign
97,35,20,8,3,0,3,5,11,12,1,0,1,1,0,1,4.031,phishing
24,27,27,2,2,0,1,3,6,4,0,0,1,0,0,0,2.503,benign
173,69,80,7,6,1,1,2,9,4,3,0,1,1,0,1,4.514,phishing
60,21,20,2,2,0,1,1,3,3,1,0,1,0,0,0,3.431,benign
55,37,48,3,4,0,2,3,10,16,2,0,1,1,1,0,4.818,phishing
36,24,21,1,0,0,2,2,3,1,0,0,0,0,0,0,2.624,benign
108,74,36,7,6,0,3,1,5,2,1,1,0,1,1,0,4.429,phishing
53,15,7,2,0,0,1,2,5,4,1,0,1,0,0,0,3.307,benign
88,66,43,8,6,0,3,5,6,10,4,0,0,1,0,0,4.58,phishing
26,12,14,2,2,0,0,1,2,3,1,0,1,0,0,0,3.162,benign
153,55,14,8,5,0,0,2,7,14,4,0,1,1,0,0,4.476,phishing
35,21,31,1,1,0,1,3,7,1,1,0,1,1,0,0,3.506,benign
139,19,22,7,4,0,3,1,3,10,4,0,0,1,0,0,4.057,phishing
71,21,16,1,1,0,0,0,4,1,0,0,1,0,0,0,2.839,benign
57,57,31,3,2,0,0,4,6,16,3,1,0,1,0,0,3.729,phishing
70,13,19,1,2,0,0,2,6,5,1,0,1,0,0,0,3.566,benign
68,62,50,8,6,0,0,4,3,13,4,0,0,1,0,0,4.34,phishing
49,11,27,2,2,0,1,1,5,1,1,0,1,0,0,0,3.904,benign
